Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-07,0,0,1000,1289761.74,Enxurradas,2023/2024,583.4,2023-12-20,1.25,1.18,1.21,76750000,847.4576271186442,1093018.4237288137,72493
2022-05-06,0,0,2352,540000.0,Inundações,2022/2023,1214.9,2022-05-01,7.17,5.92,5.36,76750000,397.2972972972973,91216.2162162162,72493
2017-04-13,0,0,2100,2483300.0,Inundações,2017/2018,1104.8,2017-09-18,3.44,3.8,3.86,76750000,552.6315789473684,653500.0,72493
2016-10-25,0,0,340,0.0,Inundações,2016/2017,1124.3,2016-04-25,3.58,4.09,4.08,76750000,83.12958435207824,,72493
2015-12-28,0,0,5000,1023758.0,Inundações,2015/2016,1761.2,2015-10-10,43.0,150.32,31.33,76750000,33.26237360298031,6810.524215007983,72493
2015-10-16,1,0,1113,10735107.0,Inundações,2015/2016,1761.2,2015-10-10,43.0,150.32,31.33,76750000,7.404204364023417,71415.02794039383,72493
2012-10-10,0,0,229,0.0,Inundações,2012/2013,1101.8,2012-10-13,3.31,3.76,3.82,76750000,60.90425531914894,,72493
2010-06-09,0,0,0,0.0,Inundações,2010/2011,1013.3,2010-01-07,2.1,2.77,2.98,76750000,,,72493
2009-11-21,0,0,7732,0.0,Inundações,2009/2010,1291.7,2009-11-25,14.33,8.42,6.79,76750000,918.289786223278,,72493
2001-04-30,0,0,0,0.0,Enxurradas,2001/2002,1179.2,2001-05-04,4.78,5.09,4.81,76750000,,,72493
1993-11-23,0,0,0,0.0,Enxurradas,1993/1994,1224.0,1993-05-14,7.82,6.16,5.51,76750000,,,72493
1993-05-13,0,0,0,0.0,Enxurradas,1993/1994,1224.0,1993-05-14,7.82,6.16,5.51,76750000,,,72493
1992-04-22,0,0,0,0.0,Inundações,1992/1993,1349.4,1992-04-15,21.5,11.23,8.15,76750000,,,72493
